id,artist_name,followers,genres,popularity
00CYRdkMnA0mwfy1VQPA7X,ellis,42857,future house,46
2f9PTWJfMMDTAFZcvHy1Z5,OVERWERK,143567,null,45
6UocZe4AprSYBvmn3J0oqY,Shiny Toy Guns,131298,electronic rock,42
3gk0OYeLFWYupGFRHqLSR7,Showtek,483101,hardstyle,62
5jdbH48Rcr1jvVSVG0osQK,DNVR,4687,bass house,26
5sfvNysQqGIyLAyd2CxHnO,Ida Deerz,4703,speedcore,27
38EIyCULsZ0FChHoe4uUxN,Momokusu Iwata,2989,japanese classical,33
1QuMvIohbPqddOqTlACR47,The Myriad,4735,christian alternative rock,15
74KM79TiuVKeVCqs8QtB0B,Sabrina Carpenter,20013528,null,91
6t1gpxYbY8OlLA7D2RiikQ,Loud Luxury,675682,null,66
0zilOJ2Ze0FLrQ76cZQaoc,akiaura,151953,phonk,66
0o9qzOHuHkGZ3xMFKpMFkC,Black Tiger Sex Machine,178301,dubstep,48
1II1ZcUUupq7JwF8eb1pxx,Eslxst,1963,breakcore,22
1cSXroP62yDewheYORCPoj,OGRE Sound,39146,synthwave,44
32ENZVmItiETXMCYfM1bbS,noturgf,105510,null,63
7AyJCgJxhAVyEsVzLxc4PW,Golemm,23119,breakcore,40
2HDr90mJP3k5gaCkPIKdEn,BYNX,142498,null,44
7tGUrTkeuwn55wnNKYwPkE,PLPS,658,future bass,11
3EXfNuPuR3OFEdlyoSutcG,Sikdope,82564,bass house,45
5c3akKV3CUqAVOnGZqf4S3,BARELY ALIVE,211895,dubstep,50
3J4heSMiOqE9MpbyGTtNHA,FLOOR BABA,14584,breakcore,30
0SfsnGyD8FpIN4U4WCkBZ5,Armin van Buuren,4503435,trance,75
7wMpo9UvGYjLW5BMKiQ958,FREE.99,5869,breakcore,31
2BOw2Ooy4maMEzNg1LR0HJ,marshall4,5157,hyperpop,30
7pI4Zmuib20gknwwWNqPpJ,gingus,6931,hyperpop,29
1Y5AYn8VTrTR3f8HXQQQug,Mckyyy,91101,null,66
0Hh9X3QxTHPE2dlAS1g8IN,Rome in Silver,29159,future bass,35
