added_at,track_id,track_name,artist_id,artist_name,duration,explicit,popularity,album_type,album_id,album_name,album_release_date
2025-03-04T23:34:01Z,6ZRxnIHvjN0qTVRwz3PLtO,Smells Blood,4L0gz16xuM1as1OgYzh1SR,Kensuke Ushio,109280,False,56,album,05xPgo0O1tujgg6eDzIfxV,DEVILMAN crybaby (Original Soundtrack),2018-01-10
2025-03-04T18:52:29Z,4rk94uEZLJftdhnjp4Hwsx,Conflict,1ldNdtZX38LAsOk0ciLvb2,F.O.O.L,187527,False,32,single,6z5absG3SjLYPN8AhVcO0e,Revenger,2020-04-06
2025-03-04T18:47:34Z,0Obvb0dyqdOPyjWJJKMniU,Window Shop,7fVp0A6oCMfiQJihMnY0SZ,KNOWER,175208,False,29,album,7o5y1ttfkpL6zf6P2uCYPQ,Louis Cole and Genevieve Artadi,2010-10-01
2025-03-04T18:01:50Z,4MqJUXLycUCczH67JE06TA,Selecta 40',7wXSDFysHTrrNetXFfvTsF,NØKK,229714,False,8,single,3g3pfrt11jiC09HSLZKLBK,Selecta 40',2024-05-17
2025-03-03T17:04:51Z,1zhvxTuSha22nsUT5Nw8gE,15 Minutes,74KM79TiuVKeVCqs8QtB0B,Sabrina Carpenter,191519,True,79,album,3WzBIQmn2hrulLeTY9smkk,Short n' Sweet (Deluxe),2025-02-14
2025-03-01T06:01:33Z,5GGA54O0NQK6Bo7nI0cz5k,SUPERSCAR,2qanRMyA5bNuTvz1dK45OP,ADÉLA,194040,False,59,single,2pElP8JopnqWCAEujfbhBL,SUPERSCAR,2024-10-25
2025-02-27T18:40:06Z,67hUUu8V72iqADfmWrXC2w,PLAYBOi,6o2D1YBpFJDDaMwZYGyW3T,Vana,133779,True,42,single,5FvgyNA2Bt91tlRCrX7UvI,PLAYBOi,2024-06-07
2025-02-16T20:29:35Z,3EgRznELSayrCj19aGYRic,Woah!! (feat. kets4eki),0hrMKLqgNEIemiF4Ag8dTI,Sophie Powers,177000,False,34,single,0vCm9yXPMOX7BpLtuB0YjC,Woah!! (feat. kets4eki),2024-05-10
2025-02-16T20:28:30Z,79wHNI2r74FIjnSsFh03uR,HA-HA!,75eUSWg8Tt9PZLiFWjascC,FORGOTTENAGE,120952,False,55,single,7BIfQFbE5RqMZlmh1An5tu,HA-HA!,2024-02-16
2025-02-16T20:23:38Z,6rm58LPjSArdS4zEHSKXDu,KAMI,3BxW2wyYPKUAlvmbOWxiDe,DR MØB,87679,True,55,single,2nOfcdpOxzJpXKe1YzEQL6,KAMI,2023-05-11
2025-02-16T20:17:10Z,0diD9SEK0oNBOx0p0QGvAB,GOT UR NUMB3R (v2),5lvB2ZiSrNidq4GaFrWHK2,bugcried,153018,False,53,single,5hp7VuRsLWYDuhYpT2cLvR,GOT UR NUMB3R (v2),2021-08-20
2025-02-16T19:22:17Z,6dRl26fre0x2OcUCtObfmP,SHELL ( OF A MAN ),4EnymklUyqZwvmHQGlRssl,Saya Gray,219294,False,46,single,7LDJQ920ux5U1bOZvexKX3,SHELL ( OF A MAN ),2024-10-10
2025-02-16T19:18:37Z,3rUGC1vUpkDG9CZFHMur1t,greedy,45dkTj5sMRSjrmBSBeiHym,Tate McRae,131872,True,81,single,3UOV8XvCwMKaATRNXrYCjN,greedy,2023-09-15
2025-02-16T19:15:58Z,2zOmS55knKWSgScYPTNmGQ,Sports car,45dkTj5sMRSjrmBSBeiHym,Tate McRae,165045,False,84,single,1fOTqAU8mRMHlmOaHMqsge,Sports car,2025-01-24
2025-02-16T19:15:06Z,5ZLUm9eab8y3tqQ1OhQSHI,Abracadabra,1HY2Jd0NmPuamShAr6KMms,Lady Gaga,223398,False,89,single,2I6LyArz82waG94e9V5B9d,Abracadabra,2025-02-03
2025-02-16T19:11:58Z,0nj9Bq5sHDiTxSHunhgkFb,squabble up,2YZyLoL8N0Wb9xBt1NhZWg,Kendrick Lamar,157992,True,87,album,0hvT3yIEysuuvkK73vgdcW,GNX,2024-11-22
2025-02-12T22:48:49Z,0ObxUGg2TbHVhy0EegzDfv,"Symphony No. 4 in A Major, Op. 90, MWV N16 ""Italian"": I. Allegro vivace",6MF58APd3YV72Ln2eVg710,Felix Mendelssohn,627000,False,25,album,3j6WUDThx2oosV3K4Q4reO,"Mendelssohn: Symphonies Nos.4 ""Italian"" & 5 ""Reformation""",1985-01-01
2025-02-12T22:47:08Z,5Ol9H0rZipMg06dvYL4qmi,Flirt Flirt Oh It Hurts,1fILrc9B34DjHxSMkJmyBN,Bossfight,211428,False,33,album,48WD8UrcE1utp3AB6xAQgW,"Caps On, Hats Off",2012-09-09
2025-02-11T19:33:29Z,7hZzYDdZyzzefi1mBjGAtQ,High Status Prisoner,3r5rHoyzqZHGJkU8fGZtNO,Tonebox,221234,False,23,single,4Q8fOY1tnwNLcb11aI9Bou,High Status Prisoner,2021-04-14
2025-02-10T19:22:51Z,6D60317nb2tnPetD4UHhgx,Destruction Age,0zilOJ2Ze0FLrQ76cZQaoc,akiaura,187205,False,49,album,2HyBUOxPZdDFJg6hiowyUG,Destruction Age,2024-06-14
2025-02-09T18:02:30Z,0YPy0ANcvTy5TrlWb6gJzJ,BE YOUR GHOST (feat. Roniit),74RET4rCZPTGzhsLjD0i3g,ATLiens,200000,False,35,album,7tJEB5mI2gBZXQ44w3TbYY,LEAVING THE WORLD BEHIND,2024-10-11
2025-02-09T02:00:00Z,5zsrV7RQ54Mh1WuFGnEy6V,Chill,1PbO7aQiVeKbGp8GYWDL9C,Levity,188780,True,44,album,1Fx4mMhHAx9ZeLs3xGOIwY,Escapism Vol. 1,2024-09-25
2025-02-08T23:12:19Z,3bFC4mJkgF9HvTU1mncW7x,My Kink Is Karma,7GlBOeep6PqTfFi59PTUUN,Chappell Roan,222578,False,71,album,0XKconI47eiBP6qPYHsx9f,The Rise and Fall of a Midwest Princess,2023-09-21
2025-02-08T23:12:14Z,70nmpLYSyZ58QTUzUiB1VA,symptom of life,3rWZHrfrsPBxVy692yAIxF,WILLOW,189586,False,53,album,5jsfwcWxZIPtF5aaWx0mlL,empathogen,2024-05-03
2025-02-08T21:07:14Z,3inJpqn2ZLKruu1vlxnJT9,Hurts2Know,79W7uIUU51RwgRFeYeRrP6,Cynthoni,297931,False,28,single,5ecy4dizEcyGzsQs1IUAyJ,SMOKE IT TO THE BUTT,2024-10-04
2025-02-08T20:52:51Z,0uexL7i4q3MizOt85n56xU,what the fuck,2BOw2Ooy4maMEzNg1LR0HJ,marshall4,108631,True,26,compilation,6EgL7k5gQ8hKzdNNvMpTar,goombacore: greatest hits (volumes 1-4),2022-06-03
2025-02-08T19:56:55Z,4FVxIxg0MFY4cgR15fKkpp,insane anime obsessed boyfriend,10zsHcOcO047KmhOhi57iL,xaev,134035,True,24,album,2IF4j6dlGv5VlboE0tXiD1,berdlycore chapter 3,2023-02-24
2025-02-08T19:47:59Z,1wGYfBHPxx8OBaikDrjp9g,"dismantle your MIND, BODY and SOUL...",7pI4Zmuib20gknwwWNqPpJ,gingus,304874,True,16,single,6nUD47692Zl30WghYOzS7R,"dismantle your MIND, BODY and SOUL...",2023-12-03
2025-02-08T19:28:31Z,0qgNF6CSROn6mrJxBYIScd,...see you to_no_more,1II1ZcUUupq7JwF8eb1pxx,Eslxst,308688,False,33,single,4cy4wLG7KtZQ9BWa0Rog53,...see you to_no_more,2023-12-21
2025-02-06T22:06:52Z,2IxBHuN6FFwcB3qm9R6ELJ,Endless Fun,4SZyEkBv1Ci5UTnHsnMQ8J,Hernán Marandino,121599,False,21,album,2iW42c5cCgOHFHZu7fAsPG,Forager (Original Game Soundtrack),2019-04-18
2025-02-06T19:44:08Z,0FOOCagwIFa58SOekbmVzj,next to me,5c3akKV3CUqAVOnGZqf4S3,BARELY ALIVE,113142,False,35,single,4hR2oacIqkUxpe2sU79kTt,next to me,2025-01-24
2025-02-05T22:08:11Z,3mr6alBLy10Cn2VyaSr1Zg,Turning Point,6L8TOjkFGmgvvBxILquVmq,Marzuku,389250,False,34,album,2nQKFN3hEjEXgADaTpt4vb,Fraudulence Custom Campaign Vol. 1 (Original Soundtrack),2024-04-19
2025-02-05T21:45:30Z,3R4BtnIz9Xov5KJL2Yz7N2,No One's Around to Help,1L71IaJOJbqqbpyAXjCtM8,shygalaxyy,162218,False,34,single,3pjNuRnnYgUAKMGM8qxleo,No One's Around to Help,2024-01-22
2025-02-05T19:35:43Z,3XlTRCp8hc7U8AEeMy996i,Surface,5JD5mJBIRz9pisqHn7SM7W,Kotek,393600,False,21,single,12QwAZ8d7QnpFIxgraTtTh,Surface,2017-09-29
2025-02-03T19:50:38Z,6zBFQ5dWHEmEx2RDoZ1ZP2,Dominate,37PZXblQTqpEWGdjctNcGP,Space Laces,234375,False,39,single,3Ger0zMysHrdm6H15k1n3D,Dominate,2021-03-26
2025-02-03T05:36:14Z,4KocH2lyGz0WagmWDBzc2f,Melancholy,4aKdmOXdUKX07HVd3sGgzw,Rezz,215980,False,27,single,4k96HudMxE3fwSakf10kRC,Something Wrong Here,2016-10-07
2025-02-03T05:19:18Z,0WW8gTjIQdynk5r0hlv2xf,Fool,0Hh9X3QxTHPE2dlAS1g8IN,Rome in Silver,230400,False,27,single,55zdsKv2hRGb8qWyJ4NG8C,Fool,2019-04-12
2025-02-03T05:05:51Z,15cRruaacYlZfimhJvxGuw,Go My Way,7ERTOmWXRyme5WJUpXVVSl,Oski,233600,False,36,single,2Etm7wn37DYMZ7fNa1oFog,Kid Calamity,2017-05-26
2025-02-02T20:55:16Z,6v6dxApxjDlhLjDWnVFh3V,Weeble Wobble,6hBrJJrcYoNhvLC6KaFR4b,Eliminate,190486,False,25,single,4Fk0pOij4YvyCm90N9Aatu,Cyber Whale EP,2019-03-13
2025-02-02T17:49:37Z,0lux8o5Ms3l32VPRxnyePl,Interdimensional,5o2KBzYUFierWmBhSemAhq,Ace Aura,207939,False,15,single,0gSUt0s1PzoFvT6RFkd5JE,Interdimensional,2019-07-31
2025-02-01T22:01:35Z,0Xw81yDxdt3FasZVNBRzt0,alone,75kwloC4KEqX7xt7UtH80A,Tdstr,90223,True,12,album,0hRi0dnmxYOWW1GIr9hqan,internet brainrot,2022-04-07
2025-02-01T21:40:23Z,3K8yH0Plhjll4THNGpOA5f,Hellrunner,62JS3xgd6kKS7OjzHNSFv1,NANORAY,236984,True,22,album,2kowSCEZhZnup8Qd57WJQ7,Zapper,2021-03-22
